total_mass_source chirp_mass_source mass_ratio chi_eff
2.7451 1.1850 1.2662 0.0062
2.7430 1.1910 1.1363 -0.0028
2.7354 1.1905 0.9761 -0.0005
2.7475 1.1897 0.8297 0.0161
2.7377 1.1856 0.8313 0.0035
2.7430 1.1895 1.1714 0.0021
2.7419 1.1925 0.9282 -0.0067
2.7424 1.1892 0.8536 -0.0021
2.7347 1.1896 0.9354 -0.0073
2.7501 1.1884 0.8025 0.0002
2.7265 1.1860 0.9382 -0.0067
2.7261 1.1856 0.9289 0.0034
2.7809 1.1885 1.4196 0.0115
2.7680 1.1919 1.3079 0.0242
2.7341 1.1899 1.0373 0.0036
2.7456 1.1909 0.8576 0.0037
2.7343 1.1901 0.9800 0.0052
2.7705 1.1906 1.3400 0.0031
2.7396 1.1878 0.8509 0.0021
2.7383 1.1908 0.9236 0.0097
2.7429 1.1886 0.8419 0.0179
2.7464 1.1924 1.1396 0.0008
2.7480 1.1923 0.8639 0.0097
2.7355 1.1858 1.1804 0.0008
2.7292 1.1851 0.8822 -0.0027
2.7323 1.1870 0.8920 0.0171
2.7351 1.1903 0.9695 0.0088
2.7281 1.1856 0.9014 0.0015
2.7283 1.1848 1.1338 -0.0031
2.7242 1.1854 0.9528 0.0030
2.7537 1.1939 1.1761 0.0047
2.7454 1.1917 1.1468 0.0113
2.7402 1.1906 1.1169 0.0021
2.7409 1.1898 1.1439 0.0005
2.7336 1.1898 1.0196 -0.0014
2.7308 1.1877 1.0751 0.0078
2.7333 1.1894 1.0418 0.0012
2.7301 1.1869 0.9141 0.0043
2.7606 1.1908 0.7821 0.0100
2.7340 1.1885 0.9109 0.0074
2.7866 1.1862 0.6795 0.0082
2.7288 1.1867 0.9273 0.0054
2.7365 1.1885 0.8858 0.0018
2.7361 1.1888 0.8968 0.0003
2.7437 1.1874 1.2173 0.0125
2.7382 1.1919 0.9990 -0.0047
2.7437 1.1866 1.2314 0.0084
2.7365 1.1878 1.1464 0.0014
2.7271 1.1867 0.9590 0.0113
2.7285 1.1875 1.0225 0.0027
2.7567 1.1881 1.2941 0.0137
2.7487 1.1917 1.1758 0.0163
2.7245 1.1858 1.0227 0.0005
2.7502 1.1903 0.8222 0.0117
2.7424 1.1857 1.2352 0.0020
2.7397 1.1871 0.8403 0.0157
2.7540 1.1877 0.7799 0.0108
2.7264 1.1866 1.0297 0.0007
2.7318 1.1865 1.1282 0.0003
2.7522 1.1927 0.8422 0.0086
2.7284 1.1868 0.9332 -0.0020
2.7435 1.1918 1.1237 -0.0042
2.7547 1.1916 1.2272 0.0107
2.7333 1.1871 1.1305 0.0141
2.7353 1.1899 1.0671 -0.0036
2.7394 1.1878 1.1745 -0.0038
2.7291 1.1867 1.0849 0.0095
2.7825 1.1911 1.3968 0.0067
2.7562 1.1852 1.3309 0.0037
2.7353 1.1871 1.1496 0.0154
2.7325 1.1865 1.1355 0.0200
2.7320 1.1861 1.1410 -0.0012
2.7320 1.1882 1.0753 0.0091
2.7442 1.1933 1.0852 -0.0006
2.7476 1.1923 0.8671 0.0066
2.7550 1.1926 0.8257 0.0125
2.7397 1.1925 0.9936 -0.0022
2.7472 1.1920 0.8646 0.0127
2.7308 1.1886 0.9893 0.0152
2.7364 1.1909 0.9719 0.0010
2.7257 1.1864 0.9831 -0.0067
2.7303 1.1856 1.1338 0.0035
2.7313 1.1886 0.9662 0.0070
2.7354 1.1905 0.9672 -0.0008
2.7338 1.1896 0.9552 0.0050
2.7628 1.1863 0.7393 0.0015
2.7326 1.1890 1.0540 0.0041
2.7346 1.1882 1.1146 0.0063
2.7458 1.1897 0.8391 0.0005
2.7286 1.1877 0.9972 -0.0021
2.7249 1.1859 0.9635 0.0097
