m1_source m2_source chi_1 cos_tilt_1 chi_2 cos_tilt_2 m_tot_source m_chirp_source q chi_eff lambda_1 lambda_2 ra dec D_L cos_theta_jn
1.7802 1.4954 0.0397 0.0320 0.0125 0.8484 3.2756 1.4193 0.8400 0.0055 172.9928 176.9786 3.9467 0.2767 217.4045 -0.9557
1.9818 1.4039 0.0232 0.9559 0.0334 -0.2024 3.3858 1.4478 0.7084 0.0102 227.6035 192.9245 4.3943 0.8728 120.5061 -0.3078
1.7308 1.5951 0.0281 0.8082 0.0187 0.9321 3.3259 1.4462 0.9216 0.0202 405.8996 1030.3917 1.3049 -0.3379 127.6154 0.5406
1.8849 1.4735 0.0242 0.9434 0.0129 -0.4482 3.3584 1.4486 0.7817 0.0102 435.8641 93.9462 4.5365 -0.1393 118.1502 0.5214
1.9145 1.4320 0.0235 0.9765 0.0177 0.5722 3.3465 1.4384 0.7480 0.0175 80.1357 1035.0608 0.9441 -1.3068 152.0804 0.8940
1.7644 1.5408 0.0056 0.2173 0.0055 0.7801 3.3053 1.4347 0.8733 0.0026 224.8006 249.1869 0.4729 -0.6684 164.2573 0.9399
1.6985 1.5617 0.0425 -0.2358 0.0339 0.8178 3.2602 1.4176 0.9194 0.0081 406.7951 149.2937 4.0570 0.5328 224.0835 0.9764
1.7826 1.5888 0.0407 0.3972 0.0442 0.5855 3.3714 1.4646 0.8913 0.0208 553.0774 160.3719 4.7808 -0.4896 69.3196 -0.5007
1.7344 1.5982 0.0063 0.4516 0.0480 0.3217 3.3326 1.4491 0.9215 0.0089 876.3157 372.3099 3.8410 0.6018 116.9375 0.5969
1.7632 1.5227 0.0216 0.0671 0.0178 -0.0810 3.2859 1.4256 0.8636 0.0001 50.6977 68.1659 0.8062 -0.0592 195.2672 -0.8120
1.6716 1.6457 0.0172 0.6248 0.0229 0.0946 3.3173 1.4439 0.9845 0.0065 195.8836 188.8441 3.3899 0.5862 134.2818 -0.7431
1.7288 1.5142 0.0058 -0.5287 0.0269 0.6773 3.2431 1.4079 0.8759 0.0069 363.1681 266.9527 3.9119 0.5706 258.3947 0.9888
1.8107 1.5001 0.0238 0.8256 0.0224 0.8132 3.3108 1.4335 0.8285 0.0190 577.0455 301.8116 4.2017 0.7298 169.2421 0.7036
1.7981 1.5731 0.0448 0.6550 0.0380 0.5524 3.3711 1.4634 0.8749 0.0254 1333.7054 149.1842 4.8496 -0.1297 72.4316 0.2992
1.8278 1.4616 0.0071 -0.0442 0.0315 0.9966 3.2894 1.4211 0.7996 0.0138 150.9065 852.4223 1.0330 -0.5362 211.4160 0.9752
1.7571 1.5703 0.0116 0.5652 0.0218 0.9304 3.3274 1.4456 0.8937 0.0130 605.8588 20.6638 4.3990 -0.0028 128.9678 0.6938
1.7811 1.4846 0.0349 0.9236 0.0379 -0.6794 3.2658 1.4145 0.8335 0.0059 288.5785 118.2539 4.1074 0.4843 234.5346 0.9422
1.6909 1.6310 0.0309 0.8265 0.0244 -0.0943 3.3219 1.4456 0.9646 0.0119 2442.6929 252.7288 4.4557 0.2905 128.8265 -0.3700
1.8638 1.4963 0.0439 0.8840 0.0293 -0.3700 3.3601 1.4520 0.8028 0.0167 346.3062 181.6966 0.9477 -0.1129 107.6207 -0.4882
1.7352 1.5689 0.0054 0.6977 0.0468 0.9406 3.3041 1.4360 0.9042 0.0229 2743.6957 316.7643 1.2075 -0.8042 161.5486 -0.6597
1.7937 1.5276 0.0048 0.5138 0.0447 0.5456 3.3213 1.4401 0.8516 0.0126 159.1640 726.0619 4.2379 0.3991 147.0703 0.3420
1.6916 1.6180 0.0452 0.7146 0.0184 0.4036 3.3096 1.4402 0.9565 0.0201 140.9614 765.9535 1.3932 -0.1181 147.9979 0.7687
1.8991 1.4392 0.0047 0.2147 0.0454 0.6498 3.3383 1.4365 0.7578 0.0133 273.2426 634.4171 1.3011 -0.3199 158.4701 0.6158
1.6934 1.5834 0.0497 0.9188 0.0366 -0.8141 3.2769 1.4254 0.9351 0.0092 1915.8957 344.6034 1.1046 -0.7747 196.7833 -0.7595
1.9182 1.3941 0.0382 0.9624 0.0354 0.9431 3.3122 1.4200 0.7268 0.0353 523.5813 3216.7144 4.0530 0.6275 216.6943 -0.9131
1.7054 1.6246 0.0073 0.0678 0.0159 0.1598 3.3300 1.4489 0.9526 0.0015 353.9741 84.0675 1.4591 0.1604 117.4713 0.7420
1.7009 1.6139 0.0235 0.0691 0.0042 0.2357 3.3148 1.4422 0.9489 0.0013 222.7507 718.4071 1.1957 -0.5089 139.1287 0.4742
1.8333 1.4612 0.0338 0.7290 0.0402 0.2654 3.2945 1.4230 0.7970 0.0184 393.0938 115.8222 4.2992 0.3236 205.6359 0.8356
1.7441 1.5663 0.0356 -0.1502 0.0456 0.8388 3.3105 1.4385 0.8981 0.0153 50.0029 664.3393 4.5982 0.0684 153.2933 -0.7679
1.6741 1.6582 0.0223 0.6331 0.0485 0.1444 3.3323 1.4505 0.9905 0.0106 320.2433 1003.2714 1.7007 0.3244 113.4782 -0.8854
1.8321 1.5149 0.0393 -0.1043 0.0487 0.7596 3.3470 1.4490 0.8268 0.0145 287.0136 409.7967 4.4276 -0.0716 117.8874 0.4597
1.8667 1.5152 0.0483 0.3798 0.0425 0.4686 3.3820 1.4625 0.8117 0.0190 233.6838 1135.2226 5.1965 1.1229 74.6829 0.0177
1.7920 1.5599 0.0194 0.7838 0.0371 0.5445 3.3519 1.4548 0.8705 0.0175 718.2629 92.2306 0.7371 -0.7983 99.4103 -0.1003
1.7555 1.5540 0.0246 0.7920 0.0003 -0.3295 3.3095 1.4373 0.8852 0.0103 874.7962 1359.5372 3.6081 0.5129 155.9610 -0.7789
1.7103 1.6034 0.0463 0.7569 0.0023 0.0897 3.3137 1.4415 0.9375 0.0182 167.5538 320.8134 4.4125 0.1888 143.5800 0.4806
1.6618 1.6309 0.0399 0.9774 0.0167 0.6104 3.2927 1.4332 0.9814 0.0247 1095.3129 249.3466 0.2883 -0.7720 171.9012 0.8930
1.7100 1.5655 0.0132 0.6458 0.0460 0.3616 3.2755 1.4241 0.9155 0.0124 649.5489 443.1385 4.3960 0.1537 201.7218 0.9638
1.7377 1.5827 0.0173 0.5077 0.0402 0.0916 3.3205 1.4434 0.9108 0.0064 436.5035 116.0379 1.0920 -1.2586 135.8595 0.8448
1.7709 1.5026 0.0438 0.1695 0.0247 -0.4026 3.2735 1.4191 0.8485 -0.0006 127.1158 2030.4001 4.3083 0.2915 217.4994 0.8331
1.7344 1.5751 0.0203 -0.1457 0.0351 0.9434 3.3095 1.4385 0.9082 0.0142 275.8560 427.5184 3.4367 0.9637 152.3811 0.9141
1.6840 1.5522 0.0304 0.2981 0.0094 -0.0639 3.2363 1.4073 0.9217 0.0044 927.7057 494.2740 1.1580 -0.5519 260.3906 0.9821
1.6977 1.6480 0.0416 0.4431 0.0001 -0.4261 3.3456 1.4561 0.9707 0.0093 709.1002 165.4892 4.4033 -0.3045 95.0089 0.4174
1.6843 1.6496 0.0092 0.0188 0.0311 0.7123 3.3338 1.4510 0.9794 0.0110 923.3269 191.3990 0.9915 -0.9582 111.1821 -0.4421
1.7642 1.5411 0.0116 0.7052 0.0442 -0.5268 3.3052 1.4348 0.8736 -0.0065 149.6484 82.2953 4.4424 -0.2812 163.7139 0.6992
1.8608 1.4872 0.0161 0.8116 0.0497 0.9560 3.3480 1.4464 0.7992 0.0284 335.6560 333.1598 1.3034 -1.2318 127.3569 0.6291
1.6822 1.6149 0.0362 0.8609 0.0087 0.2488 3.2971 1.4348 0.9600 0.0170 797.8642 303.5867 1.5886 -0.8598 165.5431 -0.6742
1.7229 1.5995 0.0194 0.9755 0.0070 -0.0763 3.3224 1.4450 0.9284 0.0096 100.6075 444.3232 4.5370 0.8480 131.0278 0.4536
1.7115 1.6488 0.0430 0.6965 0.0359 -0.2051 3.3603 1.4624 0.9633 0.0117 154.7078 304.7454 3.4868 0.9294 75.5194 -0.3507
1.6650 1.6165 0.0080 0.4379 0.0275 0.2801 3.2815 1.4282 0.9709 0.0056 407.8200 145.7550 1.4477 -0.2004 187.4240 -0.9250
1.7710 1.5119 0.0336 0.4725 0.0067 0.6038 3.2829 1.4236 0.8537 0.0104 572.3322 314.8328 3.9205 0.8968 203.0008 -0.9430
1.7226 1.5841 0.0095 0.4125 0.0070 0.7141 3.3067 1.4378 0.9196 0.0044 125.8587 336.9633 1.3025 -0.7540 154.1580 -0.7377
1.8926 1.4813 0.0070 -0.3041 0.0451 0.7356 3.3738 1.4554 0.7827 0.0134 88.0209 861.4662 4.0761 0.7414 96.5912 -0.3241
1.7655 1.5308 0.0003 0.3262 0.0184 0.9340 3.2963 1.4304 0.8671 0.0080 180.8054 346.6118 1.3362 0.2777 179.0853 0.9361
1.6603 1.6403 0.0222 -0.3961 0.0064 0.8497 3.3006 1.4366 0.9879 -0.0017 255.5685 11.9027 3.5467 0.6222 157.8096 -0.9069
1.7909 1.5101 0.0493 -0.0067 0.0225 0.9923 3.3009 1.4306 0.8432 0.0100 152.6645 342.2449 1.0171 -0.1128 179.0308 -0.9164
1.7518 1.5465 0.0288 0.8545 0.0142 -0.7900 3.2983 1.4323 0.8828 0.0078 290.5637 113.4982 1.5190 -0.2268 173.2305 -0.7464
1.9168 1.4511 0.0300 0.9993 0.0270 0.4539 3.3679 1.4491 0.7571 0.0224 138.2583 287.4857 0.6281 -0.6926 118.1072 0.5583
1.6997 1.5967 0.0020 -0.4908 0.0411 0.7113 3.2964 1.4340 0.9394 0.0136 1271.4680 983.7877 1.5554 -0.2919 167.4309 -0.8559
1.7422 1.5631 0.0479 0.5856 0.0432 0.9467 3.3053 1.4362 0.8972 0.0341 530.8019 3432.2315 1.1031 0.1026 162.1270 -0.7710
1.8155 1.5122 0.0428 0.5199 0.0007 -0.1872 3.3277 1.4412 0.8329 0.0121 1012.2751 653.1565 4.4309 0.0657 143.3834 0.6759
1.7311 1.6079 0.0336 0.6534 0.0255 -0.4737 3.3390 1.4522 0.9288 0.0056 1169.0935 1387.8242 4.4581 -0.4218 106.8578 0.6303
1.7174 1.5894 0.0232 0.7178 0.0358 0.2737 3.3068 1.4381 0.9255 0.0134 1060.6625 1491.0624 3.9232 0.6329 153.9831 0.6512
1.7623 1.5795 0.0088 0.3297 0.0330 0.6439 3.3418 1.4520 0.8963 0.0116 1033.3913 142.6648 0.3126 -1.3171 107.9918 0.5657
1.9103 1.4487 0.0264 0.3633 0.0118 0.8040 3.3590 1.4455 0.7584 0.0095 172.9354 293.6794 3.1702 0.4287 128.5738 -0.9378
1.7351 1.5710 0.0375 0.3660 0.0138 -0.6215 3.3061 1.4369 0.9054 0.0031 579.3322 203.2583 4.4740 0.2454 156.8883 0.7642
1.7690 1.5354 0.0048 0.9813 0.0429 0.3485 3.3043 1.4340 0.8680 0.0094 53.6840 513.8323 1.1991 -0.4525 167.1280 0.6678
1.6456 1.6307 0.0057 -0.2133 0.0184 0.2534 3.2763 1.4261 0.9910 0.0017 34.8397 544.1854 4.2642 0.4077 194.1451 0.8694
1.7449 1.5479 0.0213 -0.5441 0.0204 0.5489 3.2928 1.4302 0.8871 -0.0009 130.7018 272.9366 1.3689 -0.3137 179.1571 0.7234
1.7290 1.5891 0.0444 0.4965 0.0295 0.5821 3.3181 1.4428 0.9191 0.0197 304.3413 527.5917 4.6543 -0.4735 139.1754 -0.9136
1.7045 1.5827 0.0330 0.4770 0.0068 0.4276 3.2872 1.4296 0.9286 0.0096 343.7659 826.0647 3.6774 0.7569 181.8486 -0.9180
1.7274 1.5514 0.0322 0.1590 0.0366 0.9196 3.2788 1.4247 0.8981 0.0186 572.3703 164.5227 0.7720 -0.2868 199.8070 -0.8533
1.6881 1.6231 0.0404 0.7522 0.0059 0.0176 3.3112 1.4409 0.9615 0.0155 696.1758 402.5330 3.4189 0.9435 144.7782 -0.9129
1.7196 1.5522 0.0193 -0.7014 0.0188 0.8124 3.2718 1.4219 0.9027 0.0002 255.1210 913.2670 3.9737 0.5133 207.7612 0.8270
1.7208 1.5855 0.0312 0.8847 0.0285 0.2751 3.3063 1.4377 0.9213 0.0181 98.8701 883.2704 4.2452 0.6178 155.7819 -0.6067
1.7024 1.6039 0.0166 0.3906 0.0050 0.7218 3.3062 1.4383 0.9421 0.0051 149.4324 789.1326 3.4746 0.9098 152.1346 -0.9539
1.7395 1.5786 0.0326 -0.1938 0.0406 0.2079 3.3181 1.4422 0.9075 0.0007 235.6052 125.3804 3.7326 0.0138 139.2912 -0.8046
1.7189 1.5932 0.0462 0.6652 0.0329 0.1959 3.3121 1.4404 0.9269 0.0190 959.7447 553.9781 3.7520 0.6986 146.6410 -0.7093
1.6926 1.6254 0.0352 0.4926 0.0419 0.5053 3.3181 1.4439 0.9603 0.0192 346.3369 160.1769 0.8988 -0.6634 135.5758 0.5480
1.7590 1.5745 0.0312 0.9226 0.0071 -0.4551 3.3334 1.4483 0.8951 0.0136 302.0515 652.7499 1.1512 -0.6455 120.2525 -0.2193
1.6641 1.6061 0.0194 0.9441 0.0292 0.8953 3.2702 1.4232 0.9651 0.0221 380.1873 2611.4663 3.4261 0.8883 205.3329 -0.9689
1.8099 1.5485 0.0081 -0.6206 0.0086 0.4644 3.3584 1.4565 0.8556 -0.0009 64.7460 94.5976 0.6304 -1.2127 92.3505 -0.3150
1.7093 1.5963 0.0336 0.2197 0.0084 0.3805 3.3055 1.4378 0.9339 0.0054 195.6009 464.2279 4.3052 0.3714 154.4240 0.6451
1.8575 1.4952 0.0080 -0.0291 0.0365 0.7094 3.3527 1.4491 0.8050 0.0114 94.0050 165.5432 4.9014 -0.2132 117.3870 0.8815
1.7977 1.5730 0.0185 0.4438 0.0132 0.7402 3.3706 1.4632 0.8750 0.0090 270.3042 843.2192 1.9700 0.5810 71.9153 0.7502
1.7561 1.5964 0.0117 -0.4635 0.0079 0.5667 3.3524 1.4572 0.9090 -0.0007 296.4479 2300.1256 3.2708 0.5378 90.3523 -0.5512
1.6479 1.6460 0.0261 -0.2003 0.0454 0.5859 3.2938 1.4337 0.9989 0.0107 658.2051 2003.6561 0.4261 -0.5676 168.4153 0.7004
1.7560 1.5379 0.0143 -0.9802 0.0359 0.9605 3.2940 1.4300 0.8758 0.0086 395.5159 22.7820 4.2666 0.4236 180.8037 0.7823
1.6778 1.6546 0.0162 0.6885 0.0010 0.0772 3.3324 1.4505 0.9862 0.0057 252.2763 319.8435 4.5869 0.1682 113.0527 -0.1046
1.6929 1.6047 0.0289 -0.2756 0.0017 -0.2731 3.2976 1.4347 0.9479 -0.0043 33.7534 299.1620 3.3609 0.9313 163.8582 -0.8777
1.6611 1.6226 0.0045 0.4092 0.0070 -0.1120 3.2836 1.4292 0.9768 0.0005 157.7417 242.5162 4.4756 0.1142 183.4083 0.9924
1.6844 1.6227 0.0381 0.8079 0.0200 -0.3452 3.3071 1.4392 0.9634 0.0123 1453.6410 250.1175 3.5247 0.8341 150.1727 -0.5867
1.7195 1.5439 0.0261 0.4163 0.0221 0.9068 3.2635 1.4180 0.8979 0.0152 144.6609 597.3791 4.0678 0.5018 222.8200 0.8556
1.6908 1.6063 0.0041 0.1110 0.0484 0.9327 3.2971 1.4346 0.9500 0.0222 773.9662 1865.2740 4.4394 -0.0520 166.4102 0.8461
1.7673 1.5912 0.0001 -0.4367 0.0249 0.5413 3.3584 1.4594 0.9004 0.0064 501.8085 802.6246 3.9856 0.5285 83.5136 0.4274
