total_mass_source chirp_mass_source mass_ratio chi_eff
3.2756 1.4193 0.8400 0.0055
3.3858 1.4478 0.7084 0.0102
3.3259 1.4462 0.9216 0.0202
3.3584 1.4486 0.7817 0.0102
3.3465 1.4384 0.7480 0.0175
3.3053 1.4347 0.8733 0.0026
3.2602 1.4176 0.9194 0.0081
3.3714 1.4646 0.8913 0.0208
3.3326 1.4491 0.9215 0.0089
3.2859 1.4256 0.8636 0.0001
3.3173 1.4439 0.9845 0.0065
3.2431 1.4079 0.8759 0.0069
3.3108 1.4335 0.8285 0.0190
3.3711 1.4634 0.8749 0.0254
3.2894 1.4211 0.7996 0.0138
3.3274 1.4456 0.8937 0.0130
3.2658 1.4145 0.8335 0.0059
3.3219 1.4456 0.9646 0.0119
3.3601 1.4520 0.8028 0.0167
3.3041 1.4360 0.9042 0.0229
3.3213 1.4401 0.8516 0.0126
3.3096 1.4402 0.9565 0.0201
3.3383 1.4365 0.7578 0.0133
3.2769 1.4254 0.9351 0.0092
3.3122 1.4200 0.7268 0.0353
3.3300 1.4489 0.9526 0.0015
3.3148 1.4422 0.9489 0.0013
3.2945 1.4230 0.7970 0.0184
3.3105 1.4385 0.8981 0.0153
3.3323 1.4505 0.9905 0.0106
3.3470 1.4490 0.8268 0.0145
3.3820 1.4625 0.8117 0.0190
3.3519 1.4548 0.8705 0.0175
3.3095 1.4373 0.8852 0.0103
3.3137 1.4415 0.9375 0.0182
3.2927 1.4332 0.9814 0.0247
3.2755 1.4241 0.9155 0.0124
3.3205 1.4434 0.9108 0.0064
3.2735 1.4191 0.8485 -0.0006
3.3095 1.4385 0.9082 0.0142
3.2363 1.4073 0.9217 0.0044
3.3456 1.4561 0.9707 0.0093
3.3338 1.4510 0.9794 0.0110
3.3052 1.4348 0.8736 -0.0065
3.3480 1.4464 0.7992 0.0284
3.2971 1.4348 0.9600 0.0170
3.3224 1.4450 0.9284 0.0096
3.3603 1.4624 0.9633 0.0117
3.2815 1.4282 0.9709 0.0056
3.2829 1.4236 0.8537 0.0104
3.3067 1.4378 0.9196 0.0044
3.3738 1.4554 0.7827 0.0134
3.2963 1.4304 0.8671 0.0080
3.3006 1.4366 0.9879 -0.0017
3.3009 1.4306 0.8432 0.0100
3.2983 1.4323 0.8828 0.0078
3.3679 1.4491 0.7571 0.0224
3.2964 1.4340 0.9394 0.0136
3.3053 1.4362 0.8972 0.0341
3.3277 1.4412 0.8329 0.0121
3.3390 1.4522 0.9288 0.0056
3.3068 1.4381 0.9255 0.0134
3.3418 1.4520 0.8963 0.0116
3.3590 1.4455 0.7584 0.0095
3.3061 1.4369 0.9054 0.0031
3.3043 1.4340 0.8680 0.0094
3.2763 1.4261 0.9910 0.0017
3.2928 1.4302 0.8871 -0.0009
3.3181 1.4428 0.9191 0.0197
3.2872 1.4296 0.9286 0.0096
3.2788 1.4247 0.8981 0.0186
3.3112 1.4409 0.9615 0.0155
3.2718 1.4219 0.9027 0.0002
3.3063 1.4377 0.9213 0.0181
3.3062 1.4383 0.9421 0.0051
3.3181 1.4422 0.9075 0.0007
3.3121 1.4404 0.9269 0.0190
3.3181 1.4439 0.9603 0.0192
3.3334 1.4483 0.8951 0.0136
3.2702 1.4232 0.9651 0.0221
3.3584 1.4565 0.8556 -0.0009
3.3055 1.4378 0.9339 0.0054
3.3527 1.4491 0.8050 0.0114
3.3706 1.4632 0.8750 0.0090
3.3524 1.4572 0.9090 -0.0007
3.2938 1.4337 0.9989 0.0107
3.2940 1.4300 0.8758 0.0086
3.3324 1.4505 0.9862 0.0057
3.2976 1.4347 0.9479 -0.0043
3.2836 1.4292 0.9768 0.0005
3.3071 1.4392 0.9634 0.0123
3.2635 1.4180 0.8979 0.0152
3.2971 1.4346 0.9500 0.0222
3.3584 1.4594 0.9004 0.0064
3.3107 1.4328 0.8221 0.0074
3.3077 1.4316 0.8225 0.0078
3.2670 1.4218 0.9668 0.0238
